canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.3,9266532.0,23361,0.1,1,90.0,3.0,1bb32008-9285-4f59-9af4-80e86032b966,2543220.0,52937.0,98685.39276561636,31112716287.0,112537.58780180445,230437.91223234488,943907668.546038,1070142412.6492484,41.0,2_16
0.3,9259976.0,23361,0.1,1,90.0,5.0,268e0b1e-bc75-4a8c-99e1-5c461e8b5ab8,2543220.0,59937.0,93801.1735601968,30556626943.0,89876.37651324984,136835.63010525692,714914987.3635551,608886280.785807,22772.0,2_16
0.3,9269380.0,23361,0.3,1,90.0,5.0,864bb32b-a6a0-44a1-af75-4f49c1b62289,2543220.0,41143.0,75050.50904848753,31155486719.0,106144.33892580752,205572.9847690506,880196582.5643458,1014655396.8882908,62.0,2_16
0.3,9264628.0,23361,0.3,1,90.0,3.0,c8d9170f-7a06-4a78-aa90-ae61b674ac7b,2543220.0,52847.0,75215.18194524833,30918324223.0,80041.05435768123,131508.94106242125,681335351.3916065,608816632.1439673,22471.0,2_16
0.5,9247780.0,23361,0.1,1,90.0,5.0,0b183e45-57e8-4bb3-af74-574dcf346481,2543220.0,59913.0,119886.65552864132,40395382784.0,101578.59345640424,185913.73051245708,903918173.817913,1206749307.892848,22104.0,2_16
0.5,9247276.0,23361,0.1,1,90.0,3.0,ba8abde8-d9f7-4ff8-bc5e-fc2b663a3419,2543220.0,63561.0,127162.79622413614,40395382784.0,105298.7978448294,190755.67830959748,951064289.343706,1207272541.0426087,22103.0,2_16
0.5,9271468.0,23361,0.3,1,90.0,3.0,ef7e4ed1-669f-48e9-8a3b-094a74fd50de,2543220.0,50577.0,101188.97832197756,40671760383.0,108707.54461224008,206646.7418262557,939474468.1932774,1211620044.035126,21808.0,2_16
0.5,9271548.0,23361,0.3,1,90.0,5.0,e20a79f6-6a32-4acf-815e-15ae6d623cad,2543220.0,51425.0,102886.49433839798,40671760383.0,109687.87942515034,207972.66525900684,951642865.7658262,1211794351.611908,21815.0,2_16
0.3,2515716.0,16486,0.1,1,90.0,3.0,d831798a-7ca2-4bc6-8dee-cadf2a9a9809,1053216.0,8654.0,10107.885418863174,6056783871.0,36428.76794522384,83797.86438009934,74548419.55112764,389706121.6468008,10.0,2_16
0.3,2516456.0,16486,0.1,1,90.0,5.0,c1eae9ae-2e6e-4224-8818-aa524578c336,1053216.0,12005.0,16835.455257506186,6161612799.0,43859.69976308243,91592.4353451613,113678391.98013368,391741663.363152,9.0,2_16
0.3,2572408.0,16486,0.3,1,90.0,5.0,333edfe0-fca6-4287-9920-59e4214c1a60,1053216.0,7117.0,7023.081485653944,6300372991.0,45073.200515954406,124394.43262877491,72444008.27643105,804120144.0070037,13.0,2_16
0.3,2575488.0,16486,0.3,1,90.0,3.0,04b179b0-2e37-43cb-be3a-ff69a9fc0ed3,1053216.0,8190.0,9185.00214095842,6300372991.0,49569.51532675439,129758.4123375,91312397.86764452,806599656.7709073,14.0,2_16
0.5,2549156.0,16486,0.1,1,90.0,5.0,401c0d26-24ae-4b79-8b87-5fbd6b29280c,1053216.0,8062.0,8936.39111488927,6138953728.0,31297.195866441445,94304.63627567569,68596722.15052703,555088591.6265385,15.0,2_16
0.5,2564580.0,16486,0.1,1,90.0,3.0,a289adcc-e9e6-487f-9e99-c481e40ad8f1,1053216.0,12647.0,17165.406943167243,6138953728.0,40135.45555791723,103339.54075186308,114708098.2053659,556626878.2489961,14.0,2_16
0.5,2513124.0,16486,0.3,1,90.0,3.0,75cbd41c-61e3-45af-b852-9e507602269c,1053216.0,7212.0,7191.509803792131,6115147775.0,47013.47022409728,117512.91639141248,73368921.50730179,543120567.5265894,21.0,2_16
0.5,2513076.0,16486,0.3,1,90.0,5.0,96d151f2-1b7f-4978-ac1e-41addce52693,1053216.0,7407.0,7580.430027866394,6115147775.0,48035.91578609536,118976.9463475337,78225846.06098683,544489202.2503278,21.0,2_16
0.3,2540536.0,16486,0.1,1,90.0,5.0,d29ab2af-a1d9-4e2e-a464-77a9293784ca,1053216.0,9748.0,12286.914156410585,6026825727.0,30433.98640620915,49837.209004084965,82401903.82715131,324194566.5627876,67.0,2_16
0.3,2540260.0,16486,0.1,1,90.0,3.0,0b6e31fd-f50b-455c-8120-ecc65e6f1132,1053216.0,10160.0,13130.358562502694,6026825727.0,32001.10543058104,51655.81573119266,89620638.3868419,324026438.2315413,67.0,2_16
0.3,2531156.0,16486,0.3,1,90.0,5.0,f5b0165a-68ac-4f10-bb57-fec02af52526,1053216.0,8924.0,10657.736581107583,6053441535.0,27978.42837099812,49402.32331186441,77715433.86378416,323354531.48104936,11.0,2_16
0.3,2531272.0,16486,0.3,1,90.0,3.0,43778eee-4f76-4f5d-ae72-cdce3435a1ab,1053216.0,9024.0,10839.655281983863,6053441535.0,28158.90862962963,49582.19594796296,77852360.66973463,323865721.8639525,9.0,2_16
0.5,2513608.0,16486,0.1,1,90.0,5.0,d97a2c5e-ab7a-4ed2-8698-3ff2ad33d6d0,1053216.0,10292.0,13384.539685007176,5993885695.0,31541.67067792793,49298.658714414414,87219507.88936785,311944460.3451916,13.0,2_16
0.5,2513136.0,16486,0.1,1,90.0,3.0,163be4d6-6677-46c4-a2e4-7d035f8ff2f8,1053216.0,10413.0,13628.827307677171,5993885695.0,32044.83984218289,49833.347491150445,89617919.55081417,311951933.8853102,11.0,2_16
0.5,2513344.0,16486,0.3,1,90.0,3.0,45bae9be-3d9a-4c03-8a30-fb28220b4cfe,1053216.0,8798.0,10405.440092840336,6000611327.0,29183.438604238923,48363.33985375723,77803233.60253564,310873546.8209214,12.0,2_16
0.5,2513420.0,16486,0.3,1,90.0,5.0,b2a4e554-402d-4e6f-ad3b-e631bbcf6c73,1053216.0,8930.0,10643.84030401137,6000611327.0,29778.35162316384,49047.28210282486,80289769.1223113,311658280.5400057,12.0,2_16
0.3,2575996.0,16486,0.1,1,90.0,5.0,9340d39e-a555-4b6f-af4c-fde2857ae945,1053216.0,9869.0,12536.690330272617,6258974719.0,31416.75702980769,48861.6444584936,84743705.49951345,324408234.1271476,15.0,2_16
0.3,2572588.0,16486,0.1,1,90.0,3.0,50c68a3a-8a5e-4d73-badc-678cfecf5795,1053216.0,10184.0,13161.876480864194,6258974719.0,32453.34038295281,49927.87588858447,89387658.41093883,323739293.1353479,14.0,2_16
0.3,2518388.0,16486,0.3,1,90.0,5.0,d3c600f6-31b5-41c0-822c-b1f84c020a8c,1053216.0,8870.0,10527.710182671502,6012166143.0,29939.40112952381,48006.50436990477,78268552.01043847,312304940.7199439,16.0,2_16
0.3,2518396.0,16486,0.3,1,90.0,3.0,c14e51ed-8f8c-4e8b-b27a-d4c14c1b200d,1053216.0,9135.0,11062.933799463935,6012166143.0,30649.93925543478,48825.39135235507,80535907.54251811,312119893.73097205,16.0,2_16
0.5,2543404.0,16486,0.1,1,90.0,5.0,36fec7ec-c2fb-4d3a-bc56-f3b83124f6ae,1053216.0,9869.0,12532.128335605634,6013480959.0,31010.81099728868,48435.66572280703,85050741.27360782,310937268.77135664,18.0,2_16
0.5,2542948.0,16486,0.1,1,90.0,3.0,0c471835-76bb-4c51-b939-c5c991b26848,1053216.0,10215.0,13234.163389939691,6013480959.0,32229.894411969697,49901.01872590909,90161854.2258018,311930775.64144003,19.0,2_16
0.5,2513264.0,16486,0.3,1,90.0,5.0,79f97854-31a7-4dfd-a513-fade0431adf9,1053216.0,11467.0,15719.036270989618,5897367551.0,33182.22973154534,52500.55422694764,110032493.18821251,275307854.9576441,20.0,2_16
0.5,2513280.0,16486,0.3,1,90.0,3.0,288aaf61-a6f4-4f65-b97f-f7c8d4e05f3d,1053216.0,7938.0,8679.154540599942,5897367551.0,21488.34654699074,38848.70975578703,63680191.81416272,273707568.0791014,41.0,2_16
0.3,2563944.0,16486,0.1,1,90.0,3.0,c27c6b1d-7e14-404d-a576-07ac62c36e0b,1053216.0,12574.0,25911.694499549216,8963600383.0,32791.33679380061,62974.45045865975,114239231.37776318,415559048.2373039,23.0,2_16
