size,sparsity,min,max,start,end,hardware
100,0.0,1,100,2024-10-03 03:09:41+00:00,2024-10-03 03:09:41+00:00,1_8
100,0.0,1,1000,2024-10-03 03:09:41+00:00,2024-10-03 03:09:41+00:00,1_8
100,0.0,1,10000,2024-10-03 03:09:41+00:00,2024-10-03 03:09:41+00:00,1_8
100,0.0,10,100,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.0,10,1000,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.0,10,10000,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.0,50,100,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.0,50,1000,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.0,50,10000,2024-10-03 03:09:42+00:00,2024-10-03 03:09:42+00:00,1_8
100,0.25,1,100,2024-10-03 03:09:42+00:00,2024-10-03 03:09:43+00:00,1_8
100,0.25,1,1000,2024-10-03 03:09:43+00:00,2024-10-03 03:09:43+00:00,1_8
100,0.25,1,10000,2024-10-03 03:09:43+00:00,2024-10-03 03:09:43+00:00,1_8
100,0.25,10,100,2024-10-03 03:09:43+00:00,2024-10-03 03:09:43+00:00,1_8
100,0.25,10,1000,2024-10-03 03:09:43+00:00,2024-10-03 03:09:43+00:00,1_8
100,0.25,10,10000,2024-10-03 03:09:44+00:00,2024-10-03 03:09:44+00:00,1_8
100,0.25,50,100,2024-10-03 03:09:44+00:00,2024-10-03 03:09:44+00:00,1_8
100,0.25,50,1000,2024-10-03 03:09:44+00:00,2024-10-03 03:09:44+00:00,1_8
100,0.25,50,10000,2024-10-03 03:09:44+00:00,2024-10-03 03:09:44+00:00,1_8
100,0.5,1,100,2024-10-03 03:09:45+00:00,2024-10-03 03:09:45+00:00,1_8
100,0.5,1,1000,2024-10-03 03:09:45+00:00,2024-10-03 03:09:45+00:00,1_8
100,0.5,1,10000,2024-10-03 03:09:45+00:00,2024-10-03 03:09:45+00:00,1_8
100,0.5,10,100,2024-10-03 03:09:45+00:00,2024-10-03 03:09:45+00:00,1_8
100,0.5,10,1000,2024-10-03 03:09:46+00:00,2024-10-03 03:09:46+00:00,1_8
100,0.5,10,10000,2024-10-03 03:09:46+00:00,2024-10-03 03:09:46+00:00,1_8
100,0.5,50,100,2024-10-03 03:09:46+00:00,2024-10-03 03:09:46+00:00,1_8
100,0.5,50,1000,2024-10-03 03:09:46+00:00,2024-10-03 03:09:46+00:00,1_8
100,0.5,50,10000,2024-10-03 03:09:47+00:00,2024-10-03 03:09:47+00:00,1_8
100,0.75,1,100,2024-10-03 03:09:47+00:00,2024-10-03 03:09:47+00:00,1_8
100,0.75,1,1000,2024-10-03 03:09:47+00:00,2024-10-03 03:09:47+00:00,1_8
100,0.75,1,10000,2024-10-03 03:09:47+00:00,2024-10-03 03:09:47+00:00,1_8
100,0.75,10,100,2024-10-03 03:09:48+00:00,2024-10-03 03:09:48+00:00,1_8
100,0.75,10,1000,2024-10-03 03:09:48+00:00,2024-10-03 03:09:48+00:00,1_8
100,0.75,10,10000,2024-10-03 03:09:48+00:00,2024-10-03 03:09:48+00:00,1_8
100,0.75,50,100,2024-10-03 03:09:48+00:00,2024-10-03 03:09:48+00:00,1_8
100,0.75,50,1000,2024-10-03 03:09:49+00:00,2024-10-03 03:09:49+00:00,1_8
100,0.75,50,10000,2024-10-03 03:09:49+00:00,2024-10-03 03:09:49+00:00,1_8
200,0.0,1,100,2024-10-03 03:09:50+00:00,2024-10-03 03:09:50+00:00,1_8
200,0.0,1,1000,2024-10-03 03:09:50+00:00,2024-10-03 03:09:50+00:00,1_8
200,0.0,1,10000,2024-10-03 03:09:50+00:00,2024-10-03 03:09:50+00:00,1_8
200,0.0,10,100,2024-10-03 03:09:50+00:00,2024-10-03 03:09:50+00:00,1_8
200,0.0,10,1000,2024-10-03 03:09:51+00:00,2024-10-03 03:09:51+00:00,1_8
